"IDPIF","SUPQUEMADA","MUERTOS","HERIDOS","COMUNIDAD","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2003060363","1483.0000","0","0","EXTREMADURA","BADAJOZ","TENTUDIA","JEREZ DE LOS CABALLEROS","38.22920200","-6.72220200","2003-08-01","1990","5980","1","RAYO","206","17","2","0","0"
"2006385002","1466.7000","0","0","CANARIAS","S.C. TENERIFE","EL HIERRO","VALVERDE","27.70718000","-18.02382200","2006-09-10","4915","17635","2","FUMADORES","364","14","12","0","0"
"2001490406","1460.0000","0","0","CASTILLA Y LEON","ZAMORA","EL PUENTE","PORTO","42.15981700","-6.84483500","2001-12-16","3000","3900","4","Provocados por cazadores para facilitar la caza","33","0","1","0","0"
"2001370085","1450.0000","0","0","CASTILLA Y LEON","SALAMANCA","VITIGUDINO","BARRUECOPARDO","41.06989200","-6.66190200","2001-08-07","1680","3270","4","Sin datos","364","22","5","0","423419"
"2009250089","1443.0000","0","0","CATALUÑA","LLEIDA","L URGELL","AGRAMUNT","41.83789600","1.09147900","2009-07-17","1712","6755","3","LÍNEAS ELÉCTRICAS","315","50","10","0","0"
"2007440075","1436.1700","1","0","ARAGON","TERUEL","CUENCAS MINERAS","TORRE DE LAS ARCAS","40.86434600","-0.74309500","2007-08-01","1670","3170","5","CAUSA DESCONOCIDA","204","20","8","181085","4927739"
"2006220104","1435.6100","0","0","ARAGON","HUESCA","LA LITERA/LA LLITERA","PERALTA DE CALASANZ","42.00512200","0.37916400","2006-08-12","2946","4780","2","OTRAS NEGLIGENCIAS (ACTIVIDADES APÍCOLAS)","266","70","12","0","20806492"
"2003130103","1431.7800","0","0","CASTILLA-MANCHA","CIUDAD REAL","MONTES SUR","SACERUELA","38.96352500","-4.60247300","2003-08-02","1705","2965","4","Sin datos","84","16","4","66000","1737425"
"2006321210","1428.0000","0","0","GALICIA","OURENSE","VERIN-VIANA","A GUDIÑA","42.03576600","-7.18097000","2006-08-12","1670","3866","4","Provocados por pirómanos","71","16","7","0","4459322"
"2002490316","1418.2300","0","0","CASTILLA Y LEON","ZAMORA","ALCAÑICES","PORTUGAL","41.82222900","-6.54394300","2002-08-16","1080","3780","4","Sin datos","153","21","22","0","1010768"
"2006100036","1407.3900","0","0","EXTREMADURA","CACERES","CACERES-CENTRO","CAÑAVERAL","39.80004000","-6.38269500","2006-07-12","103","1205","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","175","48","14","0","0"
"2005130129","1373.0000","0","0","CASTILLA-MANCHA","CIUDAD REAL","PASTOS","PUERTOLLANO","38.68383200","-4.07868800","2005-07-16","1426","4696","4","Provocados por pirómanos","103","18","6","174901","2033002"
"2006151817","1360.0000","0","0","GALICIA","A CORUÑA","FISTERRA","MAZARICOS","42.94312400","-9.05025500","2006-08-08","3255","3585","4","Otras motivaciones","14","14","0","0","255612"
"2009500169","1283.0700","0","0","ARAGON","ZARAGOZA","ZARAGOZA","JAULÍN","41.43829000","-0.94517200","2009-07-29","2550","13430","2","FUMADORES","332","21","21","0","0"
"2004140025","1282.0000","0","0","ANDALUCIA","CORDOBA","VALLE DEL GUADIATO","OBEJO","38.07564600","-4.75963200","2004-06-24","6630","6660","3","MANIOBRAS MILITARES","119","8","9","0","265672"
"2005370293","1280.3500","0","0","CASTILLA Y LEON","SALAMANCA","LA ALBERCA","CILLEROS DE LA BASTIDA","40.52886800","-5.98566000","2005-06-18","361","7320","1","RAYO","430","22","9","0","2022571"
"2003080280","1263.7800","0","0","CATALUÑA","BARCELONA","VALLS OCCIDENTAL","GALLIFA","41.68959200","2.10477500","2003-08-11","7570","25400","5","CAUSA DESCONOCIDA","296","34","9","0","0"
"2006130076","1252.0000","0","0","CASTILLA-MANCHA","CIUDAD REAL","CAMPO DE CALATRAVA","CALZADA DE CALATRAVA","38.66809100","-3.82226100","2006-08-12","995","1895","4","Provocados contra el acotamiento de la caza","140","20","9","105823","266764"
"2005080231","1216.7000","0","4","CATALUÑA","BARCELONA","BAGES","CARDONA","41.89624800","1.71995800","2005-07-08","1715","3230","2","FUMADORES","1401","125","26","0","0"
"2005152066","1200.0000","0","0","GALICIA","A CORUÑA","FISTERRA","CARNOTA","42.88979300","-9.12390100","2005-08-21","4915","5685","4","Otras motivaciones","280","22","19","0","0"
"2003100793","1200.0000","0","0","EXTREMADURA","CACERES","SIERRA DE SAN PEDRO","OTRA PROVINCIA","39.39376900","-7.14015900","2003-08-01","870","990","1","RAYO","120","7","8","0","2285"
"2005490628","1167.8000","0","10","CASTILLA Y LEON","ZAMORA","ALCAÑICES","TRABAZOS","41.77401300","-6.50769400","2005-07-16","3150","5850","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","148","20","13","60444","0"
"2006151825","1160.0000","0","0","GALICIA","A CORUÑA","BARBANZA","RIANXO","42.68762200","-8.75826400","2006-08-10","1870","2025","4","Otras motivaciones","144","9","4","0","4479833"
"2005324118","1160.0000","0","0","GALICIA","OURENSE","VALDEORRAS-TRIVES","MANZANEDA","42.44069000","-8.01427600","2005-10-06","4283","5123","4","Provocados por pastores y ganaderos para regenerar el pasto","124","6","6","0","0"
"2006361452","1155.6000","0","0","GALICIA","PONTEVEDRA","CALDAS-O SALNES","VILABOA","42.33090800","-8.67754700","2006-08-04","10125","10560","6","INCENDIO REPRODUCIDO","125","12","11","149277","4667729"
"2006430101","1153.9100","0","0","CATALUÑA","TARRAGONA","BAIX CAMP","VANDELLÒS I L' HOSPITALET","40.98268000","0.84158000","2006-04-10","1581","2445","2","TRABAJOS FORESTALES","207","20","8","0","0"
"2009440085","1142.7800","0","1","ARAGON","TERUEL","ANDORRA-SIERRA DE ARCOS","ALLOZA","40.93598400","-0.55042800","2009-07-22","6170","11820","1","RAYO","219","21","20","153044","10402460"
"2004270760","1139.0000","0","0","GALICIA","LUGO","TERRA DE LEMOS","O SAVIÑAO","42.61032900","-7.59550300","2004-07-31","4050","4245","4","Sin datos","277","19","13","15890","2111184"
"2006050124","1130.2100","0","0","CASTILLA Y LEON","AVILA","AVILA","TORNADIZOS DE AVILA","40.60596100","-4.60854100","2006-09-03","490","3290","4","Provocados por pastores y ganaderos para regenerar el pasto","122","13","11","0","0"
"2009040044","1086.7400","0","0","ANDALUCIA","ALMERIA","ALMERÍA","NÍJAR","36.98204000","-2.17634000","2009-06-28","1450","2925","4","Otras motivaciones","278","11","10","0","0"
"2004490374","1080.0000","0","0","CASTILLA Y LEON","ZAMORA","ALCAÑICES","FONFRIA","41.62739600","-6.18686000","2004-07-17","495","9825","6","INCENDIO REPRODUCIDO","104","12","13","0","271276"
"2010240126","1077.6600","0","0","CASTILLA Y LEON","LEON","VILLAFRANCA","BARJAS","42.59302500","-6.94721500","2010-08-08","10264","13215","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","127","7","10","0","0"
