"IDPIF","zIndex","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2005450245","248","2058.4000","2559.70519732393","0","0","11","CASTILLA-MANCHA","45","TOLEDO","LA JARA","OTRA PROVINCIA","39.44765800","-5.02375600","2005-08-25","1775","6005","1","4","Provocados por venganzas","297","35","15","0","1162731"
"2002100468","249","2049.7000","2554.29006518625","0","0","14","EXTREMADURA","10","CACERES","SIERRA DE GATA","TORRECILLA  DE LOS ÁNGELES","40.25203500","-6.38976900","2002-08-17","3655","7315","0","5","CAUSA DESCONOCIDA","221","18","20","0","572957"
"2006152082","250","1999.9600","2523.10729056878","0","0","3","GALICIA","15","A CORUÑA","FISTERRA","CAMARIÑAS","43.15467200","-9.13529500","2006-08-08","5955","8490","1","4","Otras motivaciones","227","26","9","0","7345933"
"2005322927","251","1970.0000","2504.13752773698","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","VILARDEVÓS","42.36016500","-7.75727400","2005-08-17","0","0","1","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","233","26","18","0","0"
"2010460119","252","1957.1700","2495.96987149751","0","0","9","C. VALENCIANA","46","VALENCIA","LA VALL D ALBAIDA","ONTINYENT","38.77143600","-0.67234200","2010-09-06","5612","10052","1","4","Sin datos","1124","51","45","0","68209"
"2002040043","253","1937.8600","2483.62637294767","0","1","4","ANDALUCIA","4","ALMERIA","PONIENTE ALMERIENSE","ENIX","36.89826000","-2.55872800","2002-06-26","2145","3960","0","1","RAYO","370","15","17","30916","29632"
"2005386027","254","1890.0000","2452.76514343988","0","0","12","CANARIAS","38","S.C. TENERIFE","LA PALMA","GARAFÍA","28.79812000","-17.89571800","2005-09-06","7060","11610","0","3","LÍNEAS ELÉCTRICAS","794","19","11","578194","0"
"2002180273","255","1879.9100","2446.20918593601","0","1","4","ANDALUCIA","18","GRANADA","SIERRAS LITORALES","JETE","36.81686900","-3.64606200","2002-11-09","3345","5865","0","2","QUEMA AGRÍCOLA (SIN ESPECIFICAR)","1102","69","23","0","1305938"
"2006361536","256","1818.0000","2405.59217882444","0","0","3","GALICIA","36","PONTEVEDRA","O CONDADO-A PARANDATA","ARBO","42.14795300","-8.30670500","2006-08-05","2465","2555","1","4","Provocados por pirómanos","86","7","7","46705","4075560"
"2006321160","257","1807.0000","2398.30349275089","0","0","3","GALICIA","32","OURENSE","O RIBEIRO-ARENTEIRO","AVIÓN","42.43684100","-8.31083600","2006-08-11","5280","6660","1","4","Sin datos","282","23","22","0","3902587"
